base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,solver,base_seed,seed_scenario,V_demand,AHT_demand,OCC_demand,SHK_demand,Hg_demand,T_demand,week_pattern_demand,p_weekdays_demand,weekday_split_demand,weekday_step_demand,K_demand,ratio_target_demand,pos1_demand,pos2_demand,width1_demand,width2_demand,width_assignment_rule_demand,peak_amplitude_rule_demand,peak_amplitude_ratio_demand,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,base_seed_sched,seed_scenario_sched,workers,ortools_version,hexaly_version,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec
D_c550fd5dec,D_c550fd5dec_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0,cp_sat,12345,556026625,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,4.0,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.693,False,7500,1,42,0.238,10.0,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,556026625.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,167.94,0.906,0.9,False,1785.714,167.857,230.143,89.203
D_c550fd5dec,D_c550fd5dec_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0,cp_sat,12345,556026625,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,4.0,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.693,False,7500,1,42,0.238,10.0,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,556026625.0,1.0,9.15.6755,,22.0,24.0,FEASIBLE,98.89,0.945,0.9,False,1785.714,98.81,329.095,1200.022
D_c55e58e31e,D_c55e58e31e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0,cp_sat,12345,493730515,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,6.0,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,5.498,1.0,True,7500,1,61,0.238,14.524,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,493730515.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,157.34,0.912,0.9,False,1785.714,157.381,219.667,159.193
D_c55e58e31e,D_c55e58e31e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,6,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0,cp_sat,12345,493730515,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,6.0,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,5.498,1.0,True,7500,1,61,0.238,14.524,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,493730515.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,171.88,0.904,0.9,False,1785.714,171.905,66.19,1200.035
D_c56e4b0e65,D_c56e4b0e65_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0,cp_sat,12345,942108237,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.655,False,7500,8,34,1.905,8.095,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,942108237.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,146.33,0.918,0.9,False,1785.714,146.286,124.571,420.024
D_c56e4b0e65,D_c56e4b0e65_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0,cp_sat,12345,942108237,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,10.0,28.0,16.0,16.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.655,False,7500,8,34,1.905,8.095,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,942108237.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,160.44,0.91,0.9,False,1785.714,160.381,54.667,1200.026
D_c5a079ffca,D_c5a079ffca_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,15.0,15.0,equal,different_1_lt_2,2.0,cp_sat,12345,871570504,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,12.0,38.0,15.0,15.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.784,False,7500,5,44,1.19,10.476,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,871570504.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,163.38,0.909,0.9,False,1785.714,163.238,57.524,420.016
D_c5a079ffca,D_c5a079ffca_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,15.0,15.0,equal,different_1_lt_2,2.0,cp_sat,12345,871570504,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,12.0,38.0,15.0,15.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.784,False,7500,5,44,1.19,10.476,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,871570504.0,1.0,9.15.6755,,22.0,22.0,FEASIBLE,118.6,0.934,0.9,False,1785.714,117.524,179.81,1200.028
D_c5a1c9c03e,D_c5a1c9c03e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0,cp_sat,12345,886951582,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,4.0,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.827,False,7500,1,44,0.238,10.476,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,886951582.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,161.0,0.91,0.9,False,1785.714,160.905,223.19,150.936
D_c5a1c9c03e,D_c5a1c9c03e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,4,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0,cp_sat,12345,886951582,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,4.0,10.0,28.0,20.0,20.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.827,False,7500,1,44,0.238,10.476,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,886951582.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,174.62,0.902,0.9,False,1785.714,174.571,68.857,1200.017
D_c5db6e5f97,D_c5db6e5f97_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,13.0,13.0,equal,different_1_lt_2,2.0,cp_sat,12345,738678630,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,12.0,38.0,13.0,13.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.694,False,7500,5,46,1.19,10.952,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,738678630.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,148.36,0.917,0.9,False,1785.714,148.333,42.619,420.021
D_c5db6e5f97,D_c5db6e5f97_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,12.0,38.0,13.0,13.0,equal,different_1_lt_2,2.0,cp_sat,12345,738678630,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,12.0,38.0,13.0,13.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.694,False,7500,5,46,1.19,10.952,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,738678630.0,1.0,9.15.6755,,22.0,23.0,FEASIBLE,97.06,0.946,0.9,False,1785.714,97.048,243.333,1200.033
D_c5eb5b804f,D_c5eb5b804f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,715593077,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,6.0,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,5.443,1.0,True,7500,1,59,0.238,14.048,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,715593077.0,1.0,9.15.6755,,22.0,23.0,FEASIBLE,107.3,0.94,0.9,False,1785.714,107.19,253.476,420.08
D_c5eb5b804f,D_c5eb5b804f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,715593077,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,6.0,12.0,38.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,5.443,1.0,True,7500,1,59,0.238,14.048,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,715593077.0,1.0,9.15.6755,,22.0,25.0,FEASIBLE,122.7,0.931,0.9,False,1785.714,122.619,436.905,1200.017
D_c638d11f83,D_c638d11f83_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0,cp_sat,12345,694675455,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.727,False,7500,8,32,1.905,7.619,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,694675455.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,141.99,0.92,0.9,False,1785.714,142.095,120.381,420.021
D_c638d11f83,D_c638d11f83_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0,cp_sat,12345,694675455,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,10.0,28.0,20.0,20.0,equal,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.727,False,7500,8,32,1.905,7.619,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,694675455.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,169.65,0.905,0.9,False,1785.714,169.81,64.095,1200.021
D_c6d46ae9d8,D_c6d46ae9d8_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,16.0,25.0,extremes_low_high,different_1_gt_2,2.0,cp_sat,12345,930736405,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,4.0,10.0,28.0,16.0,25.0,extremes_low_high,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.785,False,7500,2,47,0.476,11.19,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,930736405.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,162.65,0.909,0.9,False,1785.714,162.619,224.905,28.655
D_c6d46ae9d8,D_c6d46ae9d8_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,10.0,28.0,16.0,25.0,extremes_low_high,different_1_gt_2,2.0,cp_sat,12345,930736405,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,4.0,10.0,28.0,16.0,25.0,extremes_low_high,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.785,False,7500,2,47,0.476,11.19,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,930736405.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,130.62,0.927,0.9,False,1785.714,130.571,108.857,1200.036
D_c7623beeeb,D_c7623beeeb_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0,cp_sat,12345,870246540,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,4.0,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.734,1.0,True,7500,2,41,0.476,9.762,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,870246540.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,161.42,0.91,0.9,False,1785.714,161.429,223.714,22.936
D_c7623beeeb,D_c7623beeeb_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,uniform,0.02,2,4,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0,cp_sat,12345,870246540,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,uniform,0.02,2,4.0,12.0,38.0,17.0,13.0,extremes_high_low,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.734,1.0,True,7500,2,41,0.476,9.762,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",12345.0,870246540.0,1.0,9.15.6755,,22.0,23.0,FEASIBLE,151.14,0.915,0.9,False,1785.714,151.143,297.429,1200.021
D_c7f9435524,D_c7f9435524_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,881592070,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,6.0,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,6.0,0.809,False,7500,3,43,0.714,10.238,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,881592070.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,143.39,0.92,0.9,False,1785.714,143.19,37.476,420.023
D_c7f9435524,D_c7f9435524_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,6,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,881592070,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,6.0,10.0,28.0,25.0,16.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,6.0,0.809,False,7500,3,43,0.714,10.238,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,881592070.0,1.0,9.15.6755,,22.0,22.0,FEASIBLE,75.72,0.958,0.9,False,1785.714,75.571,137.857,1200.024
D_c805050ec7,D_c805050ec7_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,22.0,40.0,17.0,17.0,equal,equal,2.0,cp_sat,12345,384333517,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,decreasing-to-friday,0.02,2,4.0,22.0,40.0,17.0,17.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.704,False,7500,1,40,0.238,9.524,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.0,384333517.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,172.14,0.904,0.9,False,1785.714,172.0,234.286,57.744
D_c805050ec7,D_c805050ec7_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,22.0,40.0,17.0,17.0,equal,equal,2.0,cp_sat,12345,384333517,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,decreasing-to-friday,0.02,2,4.0,22.0,40.0,17.0,17.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.704,False,7500,1,40,0.238,9.524,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.0,384333517.0,1.0,9.15.6755,,22.0,22.0,FEASIBLE,158.65,0.911,0.9,False,1785.714,158.571,220.857,1200.022
D_c81c22713a,D_c81c22713a_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,908918018,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,2.0,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.337,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,908918018.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,124.22,0.931,0.9,False,1785.714,123.238,101.524,420.022
D_c81c22713a,D_c81c22713a_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,cp_sat,12345,908918018,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,2.0,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.337,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,908918018.0,1.0,9.15.6755,,22.0,23.0,FEASIBLE,149.97,0.916,0.9,False,1785.714,149.952,296.238,1200.018
