base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,solver,base_seed,seed_scenario,V_demand,AHT_demand,OCC_demand,SHK_demand,Hg_demand,T_demand,week_pattern_demand,p_weekdays_demand,weekday_split_demand,weekday_step_demand,K_demand,ratio_target_demand,pos1_demand,pos2_demand,width1_demand,width2_demand,width_assignment_rule_demand,peak_amplitude_rule_demand,peak_amplitude_ratio_demand,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,base_seed_sched,seed_scenario_sched,workers,ortools_version,hexaly_version,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec
D_01064d9a02,D_01064d9a02_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,cp_sat,12345,729766816,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,decreasing-to-friday,0.020,2,2.000,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.000,729766816.000,1.000,9.15.6755,,22.000,21.000,FEASIBLE,120.760,0.932,0.900,False,1785.714,120.714,99.000,1200.026
D_01064d9a02,D_01064d9a02_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,hexaly,12345,729766816,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,decreasing-to-friday,0.020,2,2.000,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",,,,,,,,,,,,,,,,
D_018e23b9bf,D_018e23b9bf_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,cp_sat,12345,930345690,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,decreasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",12345.000,930345690.000,1.000,9.15.6755,,22.000,21.000,FEASIBLE,105.590,0.941,0.900,False,1785.714,105.714,84.000,420.012
D_018e23b9bf,D_018e23b9bf_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,hexaly,12345,930345690,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,decreasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_018e23b9bf,D_018e23b9bf_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,cp_sat,12345,930345690,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,decreasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",12345.000,930345690.000,1.000,9.15.6755,,22.000,21.000,FEASIBLE,161.030,0.910,0.900,False,1785.714,161.048,139.333,1200.027
D_018e23b9bf,D_018e23b9bf_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,hexaly,12345,930345690,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,decreasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_01abd8b6d1,D_01abd8b6d1_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,cp_sat,12345,132218890,7500,300.000,0.700,0.200,42.000,0.500,W1,,,,2,4.000,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.000,132218890.000,1.000,9.15.6755,,22.000,21.000,FEASIBLE,151.660,0.915,0.900,False,1785.714,151.762,130.048,420.008
D_01abd8b6d1,D_01abd8b6d1_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,hexaly,12345,132218890,7500,300.000,0.700,0.200,42.000,0.500,W1,,,,2,4.000,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",,,,,,,,,,,,,,,,
D_01abd8b6d1,D_01abd8b6d1_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,cp_sat,12345,132218890,7500,300.000,0.700,0.200,42.000,0.500,W1,,,,2,4.000,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.000,132218890.000,1.000,9.15.6755,,22.000,20.000,FEASIBLE,173.120,0.903,0.900,False,1785.714,173.190,67.476,1200.018
D_01abd8b6d1,D_01abd8b6d1_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,hexaly,12345,132218890,7500,300.000,0.700,0.200,42.000,0.500,W1,,,,2,4.000,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",,,,,,,,,,,,,,,,
